DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual
2021-02-09,15:00:00,8050,2297000000,55.72,,25.0
2021-05-07,15:00:00,8050,,,,37.5
2021-05-11,15:00:00,8050,3475000000,84.3,2709.17,
2021-08-10,15:00:00,8050,53000000,1.3,,50.0
2021-11-09,15:00:00,8050,1193000000,28.93,,50.0
2022-02-08,15:00:00,8050,3910000000,94.81,,50.0
2022-05-10,15:00:00,8050,6415000000,155.56,2911.17,
2022-08-09,15:00:00,8050,1707000000,41.4,,75.0
2022-11-08,15:00:00,8050,5292000000,128.29,,75.0
2023-02-14,15:00:00,8050,8104000000,196.43,,75.0
2023-05-09,15:00:00,8050,5028000000,121.86,3144.81,
2023-08-08,15:00:00,8050,2411000000,58.43,,75.0
2023-11-14,15:00:00,8050,6281000000,152.13,,75.0
2024-02-14,15:00:00,8050,10643000000,257.96,,80.0
2024-05-14,15:00:00,8050,10051000000,244.33,3657.61,
2024-08-13,15:00:00,8050,3492000000,85.66,,90.0
2024-11-12,15:30:00,8050,8667000000,212.4,,90.0
2025-02-12,15:30:00,8050,12935000000,316.88,,95.0
2025-05-13,15:30:00,8050,13316000000,326.18,3818.65,
2025-08-08,15:30:00,8050,6352000000,155.5,,120.0
2025-11-11,15:30:00,8050,12498000000,305.88,,130.0
