DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual
2024-01-31,15:00:00,6135,11270000000,472.2,,150.0
2024-04-30,15:00:00,6135,15981000000,670.55,9325.04,
2024-07-31,15:00:00,6135,3236000000,136.59,,160.0
2024-10-31,15:00:00,6135,5782000000,244.87,,180.0
2025-01-31,15:30:00,6135,10532000000,447.3,,180.0
2025-04-30,15:30:00,6135,14415000000,613.17,9675.09,
2025-07-31,15:30:00,6135,1247000000,53.35,,0.0
2025-10-31,15:30:00,6135,6762000000,289.13,,0.0
