DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual
2021-02-10,15:20:00,4109,1975000000,153.99,2743.45,45.0
2021-05-10,15:20:00,4109,2959000000,230.7,2826.78,
2021-08-06,15:20:00,4109,802000000,62.66,3010.85,50.0
2021-11-08,15:20:00,4109,1863000000,145.45,3099.23,50.0
2022-02-10,15:20:00,4109,3159000000,248.02,3187.82,50.0
2022-03-14,15:20:00,4109,,,,60.0
2022-05-10,15:20:00,4109,5364000000,422.97,3369.93,
2022-08-05,15:20:00,4109,1295000000,103.55,3471.87,60.0
2022-11-09,15:20:00,4109,3022000000,242.27,3671.47,60.0
2023-02-10,15:20:00,4109,1658000000,134.42,3546.05,60.0
2023-05-09,15:20:00,4109,2280000000,186.03,3568.67,
2023-08-08,15:20:00,4109,694000000,57.79,3610.69,
2023-11-09,15:20:00,4109,1095000000,91.09,3673.57,
2024-02-13,15:20:00,4109,1707000000,141.98,3705.18,145.0
2024-05-10,14:00:00,4109,1845000000,153.48,3679.9,
2024-08-07,14:00:00,4109,824000000,68.2,3686.72,170.0
2024-11-08,14:00:00,4109,1667000000,138.56,3802.58,170.0
2024-12-26,14:00:00,4109,,,,
2025-02-12,14:00:00,4109,2735000000,227.26,3748.79,170.0
2025-05-09,14:00:00,4109,2892000000,241.0,3791.73,
2025-08-07,14:00:00,4109,828000000,70.21,3739.2,170.0
2025-11-13,14:00:00,4109,1704000000,144.36,3809.44,170.0
