Code,CurFYEn,DiscDate,NxtFYEn,Sales,OP,OdP,NP,EPS,DEPS,TA,Eq,EqAR,BPS,CFO,CFI,CFF,CashEq,DivAnn,FDivAnn,FPayoutRatioAnn,FSales,FOP,FOdP,FNP,FEPS,NxFSales,NxFOP,NxFOdP,NxFNp,NxFEPS
550A,2026-03-31,2026-06-01,2027-03-31,3639000000,297000000,295000000,213000000,277.26,,1991000000,1379000000,0.693,1792.14,15000000,-5000000,-61000000,912000000,70.0,,,,,,,,3950000000,325000000,322000000,210000000,232.09
550A,2027-03-31,2026-06-24,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,
550A,2027-03-31,2026-08-10,,894000000,8000000,-8000000,-8000000,-9.17,,2163000000,1571000000,0.726,,,,,,,75.0,,3950000000,325000000,322000000,210000000,232.09,,,,,
