Code,CurFYEn,DiscDate,NxtFYEn,Sales,OP,OdP,NP,EPS,DEPS,TA,Eq,EqAR,BPS,CFO,CFI,CFF,CashEq,DivAnn,FDivAnn,FPayoutRatioAnn,FSales,FOP,FOdP,FNP,FEPS,NxFSales,NxFOP,NxFOdP,NxFNp,NxFEPS
9820,2026-03-31,2026-05-11,2027-03-31,4714000000,463000000,489000000,314000000,292.54,,5645000000,4400000000,0.779,4088.22,79000000,-31000000,-60000000,1993000000,40.0,,,,,,,,6100000000,686000000,700000000,426000000,395.81
9820,2026-03-31,2026-06-15,2027-03-31,4714000000,463000000,489000000,314000000,292.54,,5645000000,4400000000,0.779,4088.22,76000000,-28000000,-60000000,1993000000,40.0,,,,,,,,6100000000,686000000,700000000,426000000,395.81
9820,2027-03-31,2026-08-07,,2056000000,261000000,270000000,163000000,151.91,,6263000000,4520000000,0.722,4200.14,,,,,,40.0,,6100000000,686000000,700000000,426000000,395.81,,,,,
