DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual
2021-02-12,15:00:00,7716,6455000000,74.49,877.95,
2021-05-07,15:00:00,7716,3074000000,35.48,,34.0
2021-08-06,17:30:00,7716,5366000000,61.93,,34.0
2021-11-12,15:30:00,7716,8096000000,93.45,,34.0
2022-02-09,15:30:00,7716,10102000000,116.73,959.59,
2022-05-12,15:30:00,7716,3142000000,36.5,,40.0
2022-08-09,15:30:00,7716,6750000000,78.52,,44.0
2022-11-11,15:30:00,7716,10208000000,118.92,,44.0
2023-02-09,15:30:00,7716,12471000000,145.48,1065.57,
2023-05-12,15:30:00,7716,3305000000,38.83,,48.0
2023-08-07,15:30:00,7716,8103000000,95.28,,50.0
2023-08-21,15:45:00,7716,,,,
2023-11-10,15:30:00,7716,22384000000,262.98,,50.0
2024-02-13,15:30:00,7716,22835000000,268.04,1323.17,
2024-05-10,15:30:00,7716,3376000000,39.68,,52.0
2024-08-09,15:30:00,7716,7026000000,82.88,,52.0
2024-11-14,15:30:00,7716,8079000000,95.42,,52.0
2025-02-12,15:30:00,7716,8577000000,101.37,1430.58,
2025-05-12,15:30:00,7716,440000000,5.23,,54.0
2025-08-08,15:30:00,7716,3510000000,41.84,,54.0
2025-11-06,15:30:00,7716,6181000000,73.85,,54.0
