Code,CurFYEn,DiscDate,NxtFYEn,Sales,OP,OdP,NP,EPS,DEPS,TA,Eq,EqAR,BPS,CFO,CFI,CFF,CashEq,DivAnn,FDivAnn,FPayoutRatioAnn,FSales,FOP,FOdP,FNP,FEPS,NxFSales,NxFOP,NxFOdP,NxFNp,NxFEPS
7271,2026-03-31,2026-04-17,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,
7271,2026-03-31,2026-05-14,2027-03-31,33951000000,2215000000,2169000000,1871000000,181.65,,42254000000,14687000000,0.348,1425.47,3208000000,-4685000000,1375000000,6802000000,23.0,,,,,,,,37000000000,2000000000,1800000000,1300000000,126.17
7271,2027-03-31,2026-08-06,,7815000000,124000000,121000000,5000000,0.55,,43545000000,14644000000,0.336,,,,,,,38.0,,37000000000,2000000000,1800000000,1300000000,126.17,,,,,
