DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual
2021-02-01,14:00:00,9003,-3418000000,-34.89,,
2021-04-28,14:00:00,9003,-13057000000,-133.27,1421.07,
2021-07-29,14:00:00,9003,145000000,1.48,,
2021-11-04,14:00:00,9003,30000000,0.31,,
2022-02-03,14:00:00,9003,1391000000,14.2,,20.0
2022-04-26,14:00:00,9003,1855000000,18.94,1425.09,
2022-07-28,14:00:00,9003,1948000000,19.89,,25.0
2022-11-02,14:00:00,9003,2396000000,24.46,,25.0
2023-02-02,14:00:00,9003,5482000000,55.96,,25.0
2023-04-27,16:00:00,9003,6980000000,71.25,1487.07,
2023-07-27,16:00:00,9003,5098000000,52.04,,30.0
2023-11-02,14:00:00,9003,8947000000,91.32,,40.0
2024-02-02,14:00:00,9003,13952000000,142.41,,50.0
2024-04-26,14:00:00,9003,16080000000,164.13,1680.59,
2024-08-01,14:00:00,9003,10529000000,107.48,,50.0
2024-10-31,14:00:00,9003,15253000000,155.69,,60.0
2025-02-06,14:00:00,9003,23057000000,235.34,,60.0
2025-02-20,15:30:00,9003,23057000000,235.34,,60.0
2025-04-25,16:30:00,9003,22407000000,228.84,1870.68,
2025-07-31,14:00:00,9003,7355000000,76.3,,65.0
2025-10-30,14:00:00,9003,12779000000,132.82,,65.0
