DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual
2021-02-03,13:30:00,8031,198937000000,118.01,,80.0
2021-04-30,14:00:00,8031,335458000000,199.28,2739.28,
2021-08-03,13:30:00,8031,191264000000,115.74,,90.0
2021-11-02,14:00:00,8031,404630000000,246.22,,95.0
2022-02-03,13:45:00,8031,633256000000,387.17,,105.0
2022-05-02,14:00:00,8031,914722000000,561.61,3501.21,
2022-08-02,13:30:00,8031,275000000000,172.44,,120.0
2022-11-01,14:00:00,8031,539104000000,339.69,,130.0
2023-02-03,13:45:00,8031,840787000000,533.17,,135.0
2023-05-02,14:00:00,8031,1130630000000,721.82,4177.49,
2023-08-01,13:30:00,8031,252850000000,166.43,,150.0
2023-10-31,14:00:00,8031,456261000000,301.42,,170.0
2024-02-02,13:30:00,8031,726407000000,480.9,,170.0
2024-05-01,12:00:00,8031,1063684000000,705.6,5036.8,
2024-08-01,15:00:00,8031,276110000000,92.43,,100.0
2024-11-01,14:00:00,8031,411787000000,138.61,,100.0
2025-02-04,12:00:00,8031,652170000000,220.88,,100.0
2025-05-01,12:00:00,8031,900342000000,306.73,2626.04,
2025-08-01,12:00:00,8031,191647000000,66.68,,115.0
2025-11-05,12:00:00,8031,423733000000,147.41,,115.0
