DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual
2025-02-14,15:30:00,290A,-3592000000,-42.78,179.54,
2025-05-14,15:30:00,290A,-1188000000,-10.74,,0.0
2025-08-14,15:30:00,290A,-2483000000,-22.38,,0.0
2025-11-14,16:00:00,290A,-3413000000,-30.45,,0.0
