DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual
2021-03-15,15:00:00,8227,,,,
2021-04-05,15:00:00,8227,26163000000,711.93,10459.72,
2021-06-28,15:00:00,8227,8875000000,241.51,,220.0
2021-09-27,14:50:00,8227,,,,
2021-09-27,14:45:00,8227,17427000000,474.22,,220.0
2021-12-27,15:00:00,8227,26926000000,732.7,,220.0
2022-04-04,15:00:00,8227,35428000000,964.04,11183.58,
2022-06-27,15:00:00,8227,10212000000,277.87,,250.0
2022-10-03,15:00:00,8227,20620000000,561.08,,250.0
2022-12-26,15:00:00,8227,31711000000,862.86,,250.0
2023-04-03,15:00:00,8227,38021000000,1034.57,11973.98,
2023-06-26,15:00:00,8227,10029000000,272.9,,270.0
2023-10-02,15:00:00,8227,20954000000,570.15,,270.0
2023-12-25,15:00:00,8227,33077000000,900.04,,270.0
2024-04-01,15:00:00,8227,40084000000,545.35,6413.61,
2024-06-24,15:00:00,8227,10435000000,141.97,,190.0
2024-09-30,15:00:00,8227,22100000000,300.67,,190.0
2024-12-23,15:30:00,8227,33649000000,457.78,,190.0
2025-03-31,15:30:00,8227,41885000000,569.83,6815.66,
2025-06-30,15:30:00,8227,10802000000,146.96,,205.0
2025-09-29,15:30:00,8227,22901000000,311.56,,205.0
2025-12-22,15:30:00,8227,35147000000,478.14,,205.0
