DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual
2021-02-09,13:00:00,4183,33001000000,170.44,,100.0
2021-02-09,13:00:00,4183,,,,
2021-05-13,13:00:00,4183,57873000000,298.0,3102.52,
2021-08-05,13:00:00,4183,42624000000,217.53,,110.0
2021-08-05,13:00:00,4183,,,,
2021-11-05,13:00:00,4183,73940000000,377.64,,110.0
2022-02-03,13:00:00,4183,100067000000,513.32,,120.0
2022-05-13,13:00:00,4183,109990000000,565.45,3688.0,
2022-08-05,13:00:00,4183,27992000000,144.86,,120.0
2022-08-05,13:00:00,4183,,,,
2022-11-08,13:00:00,4183,44353000000,229.46,,120.0
2023-02-03,13:00:00,4183,64946000000,336.43,,120.0
2023-05-12,13:00:00,4183,82936000000,431.17,4139.76,
2023-08-04,13:00:00,4183,9591000000,50.46,,140.0
2023-11-08,13:00:00,4183,20687000000,108.82,,140.0
2024-02-07,13:00:00,4183,37261000000,195.99,,140.0
2024-02-08,15:00:00,4183,37261000000,195.99,,140.0
2024-05-15,13:00:00,4183,49999000000,262.99,4538.11,
2024-08-06,13:00:00,4183,17889000000,94.09,,150.0
2024-11-07,13:00:00,4183,22229000000,116.9,,150.0
2025-02-04,13:00:00,4183,37711000000,198.89,,150.0
2025-05-13,13:00:00,4183,32242000000,170.56,4528.02,
2025-08-07,13:00:00,4183,729000000,3.89,,150.0
2025-11-11,13:00:00,4183,7843000000,41.76,,
