DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual
2021-02-10,15:00:00,4028,-2789000000,-69.8,,12.0
2021-05-11,15:00:00,4028,3373000000,84.41,1990.03,
2021-08-12,15:00:00,4028,2435000000,60.94,,18.0
2021-11-11,15:00:00,4028,4173000000,104.46,,25.0
2022-02-10,15:00:00,4028,4768000000,119.34,,25.0
2022-05-11,15:00:00,4028,11690000000,292.58,2299.42,
2022-08-10,15:00:00,4028,3464000000,86.72,,36.0
2022-11-10,15:00:00,4028,4411000000,110.39,,40.0
2023-02-10,15:00:00,4028,3012000000,75.56,,40.0
2023-05-11,16:00:00,4028,6947000000,175.75,2554.54,
2023-08-10,15:00:00,4028,4985000000,130.7,,50.0
2023-11-10,15:00:00,4028,3748000000,98.24,,60.0
2024-02-09,15:00:00,4028,2841000000,74.44,,60.0
2024-05-10,15:00:00,4028,7988000000,209.27,2776.83,
2024-08-09,15:00:00,4028,2873000000,75.24,,70.0
2024-11-08,15:00:00,4028,727000000,19.03,,70.0
2025-02-12,15:00:00,4028,1799000000,47.08,,85.0
2025-05-08,13:00:00,4028,8410000000,219.98,2986.82,
2025-08-08,13:00:00,4028,4737000000,123.82,,100.0
2025-11-06,13:00:00,4028,5649000000,147.66,,100.0
