DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual
2024-04-09,16:00:00,9418,8727000000,145.17,,32.0
2024-07-08,16:00:00,9418,13014000000,216.48,,32.0
2024-10-10,16:00:00,9418,15357000000,255.44,1361.63,
2025-01-14,16:00:00,9418,4567000000,25.32,,14.0
2025-04-10,16:00:00,9418,9436000000,52.32,,14.0
2025-07-10,16:00:00,9418,13567000000,75.22,,14.0
2025-10-14,16:00:00,9418,18395000000,101.99,540.94,
2026-01-14,16:10:00,9418,4533000000,25.13,,17.0
