DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual
2021-02-10,16:00:00,3865,7381000000,43.96,,14.0
2021-05-14,15:15:00,3865,14172000000,84.4,1159.49,
2021-08-10,15:00:00,3865,7499000000,44.65,,14.0
2021-11-12,15:00:00,3865,16119000000,95.96,,24.0
2022-02-10,15:00:00,3865,22580000000,134.4,,24.0
2022-05-13,15:15:00,3865,21206000000,126.22,1286.82,
2022-08-12,15:00:00,3865,3690000000,21.96,,18.0
2022-11-11,16:30:00,3865,1959000000,11.66,,18.0
2023-02-14,15:00:00,3865,3923000000,23.35,,18.0
2023-05-12,15:05:00,3865,8325000000,49.54,1339.89,
2023-08-10,15:00:00,3865,6323000000,37.62,,18.0
2023-11-10,15:00:00,3865,9403000000,55.94,,18.0
2024-02-13,15:00:00,3865,7287000000,43.35,,18.0
2024-03-15,16:00:00,3865,,,,
2024-05-15,13:00:00,3865,8396000000,49.94,1496.55,
2024-08-09,15:00:00,3865,2363000000,14.05,,22.0
2024-11-14,15:00:00,3865,6281000000,37.35,,22.0
2025-02-14,15:00:00,3865,11480000000,68.26,,22.0
2025-05-15,15:00:00,3865,15529000000,92.34,1575.9,
2025-08-08,15:00:00,3865,2186000000,13.0,,26.0
2025-10-28,15:30:00,3865,,,,
2025-11-14,15:00:00,3865,2375000000,14.12,,26.0
