DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual
2021-02-02,15:00:00,2871,16952000000,127.23,1462.58,50.0
2021-05-11,15:00:00,2871,21212000000,159.19,1525.76,
2021-08-03,15:00:00,2871,4361000000,32.73,1525.38,50.0
2021-11-02,15:00:00,2871,11115000000,83.4,1591.07,50.0
2022-02-01,15:00:00,2871,18154000000,136.47,1591.66,50.0
2022-05-10,15:00:00,2871,23382000000,176.72,1630.84,
2022-05-17,15:00:00,2871,,,,
2022-08-02,15:00:00,2871,4251000000,32.83,1687.3,52.0
2022-11-01,15:00:00,2871,9798000000,75.67,1752.99,52.0
2023-02-07,15:00:00,2871,16826000000,130.03,1748.69,52.0
2023-05-09,15:00:00,2871,21568000000,167.14,1757.7,
2023-08-01,15:00:00,2871,4964000000,38.88,1814.61,74.0
2023-10-31,15:00:00,2871,11690000000,91.55,1907.48,74.0
2024-02-06,15:00:00,2871,20084000000,157.26,1929.0,74.0
2024-05-14,15:00:00,2871,24495000000,191.8,1984.04,
2024-08-06,15:00:00,2871,6444000000,50.46,2030.72,82.0
2024-11-05,15:30:00,2871,,,,92.0
2024-11-05,15:30:00,2871,12876000000,100.81,2061.26,92.0
2025-02-04,15:30:00,2871,20575000000,161.32,2055.0,92.0
2025-05-13,15:30:00,2871,24731000000,97.35,1037.82,
2025-08-05,15:30:00,2871,5648000000,22.54,1025.1,47.0
2025-11-11,15:30:00,2871,14149000000,56.47,1064.92,47.0
