DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual
2024-11-14,15:00:00,268A,8990000000,39.91,,2.6
2025-02-14,15:00:00,268A,13615000000,60.44,363.02,
2025-05-15,15:00:00,268A,1918000000,8.52,,18.8
2025-08-07,15:30:00,268A,3779000000,16.71,,18.8
2025-11-11,15:30:00,268A,4273000000,18.81,,18.8
2025-11-14,15:30:00,268A,4273000000,18.81,,18.8
