DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual
2021-01-25,15:30:00,6027,111000000,5.0,,0.0
2021-05-13,15:30:00,6027,64000000,2.9,98.6,
2021-07-30,15:30:00,6027,137000000,6.17,,0.0
2021-10-26,15:30:00,6027,284000000,12.79,,0.0
2022-01-27,15:30:00,6027,520000000,23.37,,0.0
2022-05-13,15:30:00,6027,702000000,31.56,108.17,
2022-07-27,15:30:00,6027,90000000,4.08,,0.0
2022-10-26,15:30:00,6027,232000000,10.51,,0.0
2023-01-25,15:30:00,6027,430000000,19.41,,0.0
2023-05-12,15:30:00,6027,717000000,32.33,141.43,
2023-07-26,15:30:00,6027,151000000,6.79,,0.0
2023-10-25,15:30:00,6027,337000000,15.15,,0.0
2023-12-13,15:30:00,6027,,,,
2024-02-14,16:30:00,6027,571000000,25.66,,0.0
2024-05-10,15:30:00,6027,837000000,37.62,183.87,
2024-08-14,15:30:00,6027,183000000,8.23,,0.0
2024-11-13,15:30:00,6027,339000000,15.16,,0.0
2025-02-12,15:30:00,6027,467000000,20.83,,0.0
2025-05-14,15:30:00,6027,1049000000,46.69,238.22,
2025-08-13,15:30:00,6027,321000000,14.22,,0.0
2025-11-12,15:30:00,6027,655000000,29.03,,0.0
