DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual
2021-01-25,15:00:00,6440,,,,20.0
2021-02-12,15:00:00,6440,-4688000000,-160.04,1059.32,
2021-05-10,14:00:00,6440,141000000,4.84,,25.0
2021-08-03,14:00:00,6440,1221000000,41.7,,25.0
2021-11-05,14:00:00,6440,1657000000,56.6,,25.0
2022-02-09,13:00:00,6440,2154000000,73.55,1203.14,
2022-05-09,13:00:00,6440,516000000,17.65,,30.0
2022-08-04,13:00:00,6440,846000000,28.87,,30.0
2022-11-04,13:00:00,6440,1011000000,34.48,,25.0
2023-02-03,15:00:00,6440,,,,20.0
2023-02-09,13:00:00,6440,-78000000,-2.66,1250.84,
2023-05-09,13:00:00,6440,-1385000000,-47.16,,25.0
2023-08-04,13:00:00,6440,-1541000000,-52.36,,25.0
2023-11-06,13:00:00,6440,-4062000000,-137.83,,15.0
2023-11-07,14:30:00,6440,-4062000000,-137.83,,15.0
2024-02-09,13:00:00,6440,-7035000000,-238.54,1069.34,
2024-05-13,13:00:00,6440,-833000000,-28.22,,20.0
2024-08-07,13:00:00,6440,-1999000000,-67.48,,
2024-11-12,16:00:00,6440,-4550000000,-153.42,,0.0
2025-02-13,13:00:00,6440,-3235000000,-109.0,1049.72,
2025-05-13,13:00:00,6440,49000000,1.65,,10.0
2025-08-07,13:00:00,6440,139000000,4.69,,10.0
2025-11-13,13:00:00,6440,75000000,2.53,,10.0
