DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual
2021-02-12,15:00:00,4633,5275000000,90.32,1307.13,
2021-05-14,16:00:00,4633,1833000000,31.39,1392.04,30.0
2021-08-05,17:00:00,4633,,,,
2021-08-11,15:00:00,4633,4039000000,69.14,,30.0
2021-11-12,15:00:00,4633,4790000000,81.98,,30.0
2022-02-14,15:00:00,4633,4933000000,84.43,1478.18,
2022-05-13,16:00:00,4633,1392000000,23.83,,30.0
2022-08-10,15:00:00,4633,2400000000,42.84,,30.0
2022-11-11,15:00:00,4633,3090000000,56.98,,30.0
2023-02-14,15:00:00,4633,4555000000,85.52,1724.45,
2023-05-12,16:00:00,4633,2015000000,40.28,,30.0
2023-08-08,13:00:00,4633,,,,
2023-08-10,15:00:00,4633,3812000000,76.2,,31.0
2023-11-10,15:00:00,4633,6637000000,132.65,,31.0
2024-02-14,15:00:00,4633,7466000000,149.22,1974.19,
2024-05-14,16:00:00,4633,2730000000,54.57,,40.0
2024-08-07,12:00:00,4633,,,,
2024-08-09,12:00:00,4633,,,,55.0
2024-08-09,15:00:00,4633,5318000000,106.26,,55.0
2024-11-11,15:00:00,4633,8350000000,167.24,,55.0
2025-02-14,16:00:00,4633,9006000000,180.64,2264.08,
2025-05-08,16:00:00,4633,3078000000,62.09,,90.0
2025-08-07,15:00:00,4633,6249000000,126.22,,90.0
2025-11-07,15:00:00,4633,9780000000,197.92,,90.0
2025-11-17,15:30:00,4633,9780000000,197.92,,90.0
