DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual
2021-01-28,16:00:00,8421,26718000000,3982.95,325533.99,6500.0
2021-05-20,16:00:00,8421,31649000000,4401.33,320620.85,
2021-07-29,16:00:00,8421,15396000000,2295.15,327088.34,6500.0
2021-10-29,16:00:00,8421,25989000000,3874.23,327627.95,6500.0
2022-01-28,16:00:00,8421,31071000000,4631.86,328223.53,6500.0
2022-05-20,16:30:00,8421,35942000000,5041.19,292802.41,
2022-07-28,16:00:00,8421,15686000000,2338.36,257152.66,6500.0
2022-10-31,16:00:00,8421,25961000000,3870.11,229526.87,6500.0
2023-01-27,16:00:00,8421,27890000000,4157.69,220001.39,6500.0
2023-05-19,16:00:00,8421,26221000000,3592.19,239364.73,
2023-07-28,16:00:00,8421,9077000000,1353.25,244026.06,6500.0
2023-10-27,16:00:00,8421,16810000000,2505.9,224194.05,6500.0
2024-01-30,16:00:00,8421,22592000000,3367.89,242134.35,6500.0
2024-05-17,16:00:00,8421,32145000000,4464.33,242006.77,
2024-07-26,16:00:00,8421,13927000000,1599.29,231124.37,6500.0
2024-10-30,16:00:00,8421,21160000000,2429.95,241284.95,6500.0
2025-01-30,16:00:00,8421,33283000000,3822.03,240845.57,6500.0
2025-05-20,16:00:00,8421,42449000000,4630.7,231530.45,
2025-07-30,16:00:00,8421,10737000000,1233.07,238788.91,6500.0
2025-10-30,16:00:00,8421,21851000000,2509.31,253460.95,6500.0
