DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual
2021-01-28,15:00:00,7751,83318000000,79.37,2462.65,
2021-04-26,15:00:00,7751,44454000000,42.51,,90.0
2021-07-19,15:00:00,7751,,,,
2021-07-28,15:00:00,7751,105603000000,100.99,,90.0
2021-10-26,15:00:00,7751,154920000000,148.16,,90.0
2021-12-15,15:00:00,7751,,,,100.0
2022-01-27,15:00:00,7751,214718000000,205.35,2748.36,
2022-04-26,15:00:00,7751,45975000000,43.97,,100.0
2022-07-26,15:00:00,7751,105000000000,100.82,,120.0
2022-10-26,15:00:00,7751,159118000000,153.7,,120.0
2023-01-30,15:00:00,7751,243961000000,236.71,3065.97,
2023-04-26,15:00:00,7751,56410000000,55.56,,120.0
2023-07-27,15:05:00,7751,121813000000,120.36,,140.0
2023-10-26,15:00:00,7751,183947000000,182.98,,140.0
2024-01-30,15:00:00,7751,264513000000,264.2,3394.92,
2024-04-24,15:00:00,7751,59949000000,60.7,,150.0
2024-07-25,15:00:00,7751,149806000000,152.53,,150.0
2024-10-24,15:00:00,7751,218569000000,224.49,,150.0
2024-10-31,15:00:00,7751,218569000000,224.49,,150.0
2025-01-30,15:30:00,7751,160025000000,165.53,3581.36,
2025-04-24,15:30:00,7751,72231000000,77.27,,160.0
2025-04-30,15:30:00,7751,72231000000,77.27,,160.0
2025-07-24,15:30:00,7751,155904000000,169.16,,160.0
2025-10-27,15:30:00,7751,219571000000,240.99,,160.0
2025-10-30,15:30:00,7751,219571000000,240.99,,160.0
