DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual
2021-02-12,15:00:00,6376,6560000000,92.08,1210.39,
2021-05-14,15:20:00,6376,2226000000,31.25,,20.0
2021-08-12,15:00:00,6376,754000000,10.59,,20.0
2021-11-12,15:00:00,6376,983000000,13.8,,20.0
2021-12-20,15:00:00,6376,,,,
2022-02-14,15:00:00,6376,221000000,3.11,1292.85,
2022-03-14,15:00:00,6376,,,,
2022-03-14,15:00:00,6376,,,,25.0
2022-03-15,13:00:00,6376,,,,
2022-05-16,15:00:00,6376,624000000,8.77,,25.0
2022-08-15,15:00:00,6376,1911000000,26.83,,25.0
2022-08-15,15:00:00,6376,,,,
2022-11-14,15:00:00,6376,14923000000,210.51,,25.0
2023-02-14,15:00:00,6376,13639000000,195.23,1725.26,
2023-02-27,15:00:00,6376,13639000000,195.23,1725.26,
2023-05-15,15:00:00,6376,163000000,2.47,,25.0
2023-08-14,15:00:00,6376,3873000000,58.54,,25.0
2023-08-14,15:00:00,6376,,,,
2023-11-13,15:00:00,6376,6268000000,94.73,,25.0
2023-12-21,15:00:00,6376,,,,27.5
2024-02-14,15:00:00,6376,9071000000,137.09,1878.81,
2024-02-22,15:30:00,6376,9071000000,137.09,1878.81,
2024-05-15,15:00:00,6376,2826000000,42.7,,30.0
2024-08-14,15:00:00,6376,5952000000,89.92,,30.0
2024-11-14,15:00:00,6376,4188000000,63.26,,30.0
2025-02-14,15:00:00,6376,7957000000,120.15,2113.07,
2025-05-15,15:00:00,6376,2264000000,34.18,,36.0
2025-08-14,15:00:00,6376,4929000000,74.39,,36.0
2025-11-14,15:00:00,6376,7331000000,110.65,,36.0
