DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual
2021-01-29,15:00:00,7483,,,,
2021-01-29,15:00:00,7483,6030000000,170.55,2053.59,50.0
2021-03-08,12:00:00,7483,,,,55.0
2021-05-10,15:00:00,7483,6588000000,186.58,2086.85,
2021-07-30,15:00:00,7483,1775000000,50.52,2100.89,60.0
2021-10-29,15:00:00,7483,2791000000,79.45,2126.63,60.0
2022-01-31,15:00:00,7483,4692000000,133.61,2152.29,60.0
2022-05-09,15:00:00,7483,5132000000,146.55,2177.99,
2022-07-29,15:00:00,7483,1590000000,46.3,2212.97,60.0
2022-10-31,15:00:00,7483,2641000000,77.1,2255.11,60.0
2023-01-31,15:00:00,7483,4991000000,145.85,2255.98,60.0
2023-05-10,15:00:00,7483,5621000000,164.34,2283.42,
2023-07-31,15:00:00,7483,1738000000,50.93,2328.54,70.0
2023-10-31,15:00:00,7483,2931000000,85.86,2366.67,70.0
2024-01-31,15:00:00,7483,4970000000,145.59,2372.78,70.0
2024-05-09,15:00:00,7483,5784000000,169.42,2410.12,
2024-07-31,15:00:00,7483,1678000000,49.15,2424.5,80.0
2024-10-31,15:00:00,7483,2884000000,84.01,2424.07,80.0
2025-01-31,15:30:00,7483,5324000000,154.44,2485.05,85.0
2025-05-09,15:30:00,7483,6409000000,185.25,2495.53,
2025-07-31,15:30:00,7483,2371000000,67.4,2506.66,100.0
2025-10-31,15:30:00,7483,,,,
2025-10-31,15:30:00,7483,4309000000,122.15,2573.45,100.0
