Code,CurFYEn,DiscDate,NxtFYEn,Sales,OP,OdP,NP,EPS,DEPS,TA,Eq,EqAR,BPS,CFO,CFI,CFF,CashEq,DivAnn,FDivAnn,FPayoutRatioAnn,FSales,FOP,FOdP,FNP,FEPS,NxFSales,NxFOP,NxFOdP,NxFNp,NxFEPS
2169,2026-12-31,2026-05-13,,2103000000,172000000,176000000,118000000,17.33,,10970000000,8819000000,0.804,1293.32,,,,,,74.0,,9451000000,993000000,992000000,663000000,97.21,,,,,
2169,2026-12-31,2026-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2169,2026-12-31,2026-08-07,,4113000000,239000000,251000000,159000000,23.38,,10981000000,8871000000,0.808,,819641000,-1041906000,-301912000,3938419000,,74.0,,9451000000,993000000,992000000,663000000,97.21,,,,,
