DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual
2021-03-18,15:00:00,3549,10033000000,318.22,,22.5
2021-07-01,15:00:00,3549,12062000000,382.56,2459.98,
2021-08-18,15:00:00,3549,12062000000,382.56,2459.98,
2021-10-28,15:00:00,3549,2347000000,74.46,,26.0
2022-01-04,15:00:00,3549,4694000000,148.89,,26.0
2022-03-30,15:00:00,3549,7721000000,244.87,,26.0
2022-07-04,15:00:00,3549,9839000000,312.05,2753.84,
2022-10-03,15:00:00,3549,4144000000,131.44,,29.0
2022-12-28,15:00:00,3549,7924000000,251.31,,29.0
2023-04-04,15:00:00,3549,11956000000,379.17,,29.0
2023-06-30,15:00:00,3549,12972000000,411.4,3144.09,
2023-07-25,15:00:00,3549,12326000000,390.92,3123.6,
2023-10-03,15:00:00,3549,4789000000,151.9,,
2023-12-28,15:00:00,3549,3422000000,36.18,,
2024-04-04,15:00:00,3549,8266000000,87.39,,
2024-07-04,15:00:00,3549,12307000000,130.11,1168.74,
2024-10-03,15:00:00,3549,5249000000,55.5,,14.0
2024-12-26,15:30:00,3549,8622000000,86.39,,14.0
2025-04-03,15:30:00,3549,13935000000,137.65,,14.0
2025-07-03,15:30:00,3549,17786000000,175.42,1441.69,
2025-10-02,15:30:00,3549,5033000000,50.25,,16.0
2025-12-25,15:30:00,3549,9639000000,97.71,,56.0
