Code,CurFYEn,DiscDate,NxtFYEn,Sales,OP,OdP,NP,EPS,DEPS,TA,Eq,EqAR,BPS,CFO,CFI,CFF,CashEq,DivAnn,FDivAnn,FPayoutRatioAnn,FSales,FOP,FOdP,FNP,FEPS,NxFSales,NxFOP,NxFOdP,NxFNp,NxFEPS
9692,2027-01-31,2026-05-22,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,
9692,2027-01-31,2026-06-11,,16794000000,2315000000,2336000000,1591000000,50.99,50.96,62031000000,42642000000,0.687,,,,,,,85.0,,68000000000,7750000000,7800000000,5600000000,179.43,,,,,
9692,2027-01-31,2026-08-21,,,,,,,,,,,,,,,,,,,70500000000,8320000000,8420000000,5900000000,191.01,,,,,
9692,2027-01-31,2026-09-10,,35080000000,4160000000,4234000000,2883000000,92.65,92.58,62159000000,43034000000,0.692,,5355000000,-1590000000,-2564000000,26405000000,,85.0,,70500000000,8320000000,8420000000,5900000000,191.01,,,,,
