DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual
2021-02-10,16:00:00,6268,20505000000,165.18,1594.1,
2021-04-30,16:00:00,6268,80058000000,647.79,,77.0
2021-07-30,16:00:00,6268,68056000000,556.45,,77.0
2021-10-29,16:00:00,6268,63078000000,518.71,,77.0
2022-02-10,16:00:00,6268,64818000000,534.67,1999.1,
2022-04-28,16:00:00,6268,-4388000000,-36.57,,78.0
2022-07-29,16:00:00,6268,-5106000000,-42.56,,78.0
2022-10-31,16:00:00,6268,10622000000,88.52,,78.0
2022-11-15,16:40:00,6268,,,,
2023-02-10,16:00:00,6268,9464000000,78.87,2071.87,
2023-04-28,16:00:00,6268,6699000000,55.82,,80.0
2023-07-31,16:00:00,6268,9452000000,78.74,,80.0
2023-07-31,16:00:00,6268,,,,
2023-10-31,16:00:00,6268,13293000000,110.74,,80.0
2024-02-13,16:00:00,6268,14554000000,121.25,2169.52,
2024-04-30,16:00:00,6268,2640000000,21.99,,80.0
2024-07-31,16:00:00,6268,4204000000,35.01,,80.0
2024-07-31,16:00:00,6268,,,,
2024-10-31,16:00:00,6268,5659000000,47.12,,80.0
2025-02-12,16:00:00,6268,10119000000,84.25,2248.31,
2025-04-30,16:00:00,6268,3283000000,27.33,,80.0
2025-07-31,15:45:00,6268,,,,
2025-07-31,15:45:00,6268,6513000000,54.2,,80.0
2025-10-31,16:00:00,6268,11505000000,95.97,,80.0
