DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual
2021-01-29,15:00:00,2413,26711000000,39.36,273.38,
2021-02-25,15:00:00,2413,,,,12.0
2021-04-23,15:00:00,2413,37822000000,55.73,293.64,
2021-07-28,15:00:00,2413,15769000000,23.23,302.91,
2021-10-27,15:00:00,2413,40788000000,60.09,340.01,
2022-02-02,15:00:00,2413,56169000000,82.75,362.32,
2022-02-24,15:00:00,2413,,,,16.0
2022-04-27,15:00:00,2413,63845000000,94.06,378.75,
2022-07-27,15:00:00,2413,12127000000,17.86,394.74,
2022-11-02,15:00:00,2413,24060000000,35.44,417.71,
2023-02-03,15:00:00,2413,39279000000,57.86,426.79,
2023-02-21,15:00:00,2413,,,,19.0
2023-04-28,15:00:00,2413,49028000000,72.22,444.22,
2023-07-28,15:00:00,2413,12414000000,18.29,465.07,
2023-10-27,15:00:00,2413,23406000000,34.47,486.79,
2024-01-31,15:00:00,2413,36614000000,53.93,494.76,
2024-02-29,15:00:00,2413,,,,21.0
2024-04-26,15:00:00,2413,45271000000,66.68,516.49,
2024-07-26,15:00:00,2413,11248000000,16.56,526.77,
2024-10-30,15:00:00,2413,17294000000,25.47,512.51,
2025-02-10,15:30:00,2413,32544000000,47.93,554.54,
2025-05-02,15:30:00,2413,40484000000,59.62,555.07,
2025-08-06,15:30:00,2413,11840000000,17.44,549.17,
2025-11-12,15:30:00,2413,22711000000,33.47,568.98,
