Code,CurFYEn,DiscDate,NxtFYEn,Sales,OP,OdP,NP,EPS,DEPS,TA,Eq,EqAR,BPS,CFO,CFI,CFF,CashEq,DivAnn,FDivAnn,FPayoutRatioAnn,FSales,FOP,FOdP,FNP,FEPS,NxFSales,NxFOP,NxFOdP,NxFNp,NxFEPS
3083,2027-02-28,2026-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3083,2027-02-28,2026-06-25,,,,,,,,,,,,,,,,,,,30000000000,1450000000,1100000000,600000000,69.52,,,,,
3083,2027-02-28,2026-07-14,,5345000000,53000000,54000000,-92000000,-10.78,,6808000000,2807000000,0.398,,,,,,,10.0,,30000000000,1450000000,1100000000,600000000,69.52,,,,,
