DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual
2021-02-12,15:30:00,2181,12817000000,55.52,,26.0
2021-05-14,15:30:00,2181,15834000000,68.64,682.8,
2021-08-10,15:00:00,2181,8487000000,36.88,,
2021-11-11,15:00:00,2181,15547000000,67.54,,40.0
2022-02-14,15:00:00,2181,23932000000,103.92,,40.0
2022-05-13,15:30:00,2181,31523000000,136.84,793.68,
2022-08-10,15:00:00,2181,10301000000,44.68,,42.0
2022-11-11,15:00:00,2181,18789000000,81.52,,42.0
2023-02-10,15:00:00,2181,27162000000,118.02,,42.0
2023-04-11,18:00:00,2181,,,,61.0
2023-05-15,15:00:00,2181,20578000000,89.61,815.36,
2023-06-16,15:45:00,2181,20578000000,89.61,815.36,
2023-08-10,15:40:00,2181,9369000000,41.38,,
2023-11-10,15:00:00,2181,16768000000,7.41,,
2024-02-14,15:00:00,2181,25209000000,11.12,,
2024-05-13,15:00:00,2181,29971000000,13.22,84.15,
2024-08-08,15:00:00,2181,12952000000,5.72,,9.0
2024-11-11,15:30:00,2181,21381000000,9.56,,9.0
2025-02-14,15:30:00,2181,31161000000,14.0,,9.0
2025-05-13,15:30:00,2181,35871000000,16.17,85.48,
2025-08-08,15:30:00,2181,10662000000,4.86,,11.0
2025-11-11,15:30:00,2181,23976000000,10.93,,11.0
