Code,CurFYEn,DiscDate,NxtFYEn,Sales,OP,OdP,NP,EPS,DEPS,TA,Eq,EqAR,BPS,CFO,CFI,CFF,CashEq,DivAnn,FDivAnn,FPayoutRatioAnn,FSales,FOP,FOdP,FNP,FEPS,NxFSales,NxFOP,NxFOdP,NxFNp,NxFEPS
2907,2026-03-31,2026-05-01,,,,,,,,,,,,,,,,,,,51400000000,1250000000,1600000000,1100000000,144.72,,,,,
2907,2026-03-31,2026-05-14,2027-03-31,51430000000,1279000000,1642000000,1111000000,146.18,,27158000000,18302000000,0.674,2445.06,1735000000,-1173000000,-518000000,2326000000,52.0,,,,,,,,54500000000,1500000000,1700000000,1150000000,153.63
2907,2027-03-31,2026-08-03,,12540000000,291000000,388000000,259000000,34.7,,28393000000,18302000000,0.645,2445.13,,,,,,58.0,,54500000000,1500000000,1700000000,1150000000,153.63,,,,,
