DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual
2024-05-13,16:00:00,167A,,,,140.0
2024-08-08,16:00:00,167A,4083000000,102.01,3339.06,140.0
2024-11-08,16:00:00,167A,5606000000,140.03,3250.27,140.0
2024-11-08,16:00:00,167A,,,,
2025-02-07,16:00:00,167A,7954000000,198.63,3322.81,140.0
2025-05-14,17:15:00,167A,9387000000,234.38,3280.12,
2025-08-08,16:00:00,167A,2384000000,59.52,3235.49,140.0
2025-11-12,16:00:00,167A,3717000000,92.76,3306.54,140.0
