DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual
2021-02-08,15:31:00,4784,260000000,16.26,331.09,
2021-05-06,15:31:00,4784,166000000,10.35,,8.8
2021-08-06,15:31:00,4784,260000000,16.23,,8.8
2021-11-08,15:31:00,4784,281000000,17.49,,9.8
2022-02-07,15:31:00,4784,348000000,21.77,325.48,
2022-02-24,13:00:00,4784,328000000,20.52,325.76,
2022-05-09,15:31:00,4784,196000000,12.49,,11.0
2022-08-04,15:31:00,4784,293000000,18.64,,11.0
2022-11-07,15:31:00,4784,415000000,26.29,,11.0
2023-02-06,15:31:00,4784,395000000,24.98,334.28,
2023-05-08,15:31:00,4784,113000000,7.07,,13.6
2023-08-03,15:31:00,4784,106000000,6.61,,13.6
2023-11-06,15:31:00,4784,46000000,2.91,,2.4
2024-02-05,15:31:00,4784,40000000,2.5,320.98,
2024-05-08,15:31:00,4784,61000000,3.84,,6.9
2024-08-08,15:31:00,4784,-85000000,-5.31,,6.9
2024-11-06,15:31:00,4784,-48000000,-2.99,,6.9
2025-02-12,15:31:00,4784,-4000000,-0.3,321.02,
2025-05-14,16:01:00,4784,1264000000,4.61,,
2025-08-12,15:31:00,4784,2410000000,8.79,,18.2
2025-11-13,15:31:00,4784,4013000000,14.63,,18.2
