Code,CurFYEn,DiscDate,NxtFYEn,Sales,OP,OdP,NP,EPS,DEPS,TA,Eq,EqAR,BPS,CFO,CFI,CFF,CashEq,DivAnn,FDivAnn,FPayoutRatioAnn,FSales,FOP,FOdP,FNP,FEPS,NxFSales,NxFOP,NxFOdP,NxFNp,NxFEPS
6419,2026-03-31,2026-04-13,,,,,,,,,,,,,,,,,,,32250000000,8700000000,9550000000,6550000000,355.02,,,,,
6419,2026-03-31,2026-05-14,2027-03-31,32281000000,8795000000,9693000000,6640000000,359.92,,94262000000,85733000000,0.91,4647.27,7814000000,-2480000000,-2765000000,38963000000,150.0,,,,,,,,33700000000,8950000000,9700000000,6700000000,363.18
6419,2027-03-31,2026-07-30,,6794000000,1529000000,1825000000,1266000000,69.3,,93691000000,85268000000,0.91,4755.34,1160023000,-324314000,-2883794000,36921518000,,150.0,,33700000000,8950000000,9700000000,6700000000,363.18,,,,,
