DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual
2021-02-05,13:00:00,7270,74205000000,96.77,,56.0
2021-05-11,13:00:00,7270,76510000000,99.77,2318.17,
2021-08-03,13:00:00,7270,18514000000,24.14,,56.0
2021-11-05,13:00:00,7270,,,,
2021-11-05,13:00:00,7270,44788000000,58.4,,56.0
2022-02-07,13:00:00,7270,62868000000,81.98,,56.0
2022-05-12,13:00:00,7270,70007000000,91.28,2465.41,
2022-08-03,13:00:00,7270,27212000000,35.48,,56.0
2022-11-02,13:00:00,7270,77858000000,101.52,,76.0
2023-02-08,13:00:00,7270,154419000000,201.34,,76.0
2023-05-11,13:00:00,7270,200431000000,261.33,2739.27,
2023-08-02,13:00:00,7270,73242000000,95.89,,76.0
2023-11-02,13:00:00,7270,150948000000,198.59,,96.0
2024-02-08,13:00:00,7270,298859000000,394.48,,96.0
2024-05-13,13:00:00,7270,385084000000,509.2,3409.45,
2024-08-05,13:00:00,7270,84007000000,112.14,,96.0
2024-11-01,13:00:00,7270,163033000000,219.09,,96.0
2025-02-07,13:00:00,7270,317402000000,428.81,,115.0
2025-05-14,13:00:00,7270,338062000000,458.03,3713.26,
2025-08-07,13:00:00,7270,54849000000,75.03,,115.0
2025-11-10,13:30:00,7270,90415000000,123.9,,115.0
