DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual
2021-02-05,10:00:00,6455,2730000000,60.16,,38.0
2021-05-10,15:00:00,6455,6224000000,137.09,1717.79,
2021-07-28,15:00:00,6455,-601000000,-13.25,,38.0
2021-10-29,15:00:00,6455,262000000,5.76,,38.0
2022-01-28,15:00:00,6455,1903000000,41.82,,38.0
2022-04-28,15:00:00,6455,5350000000,118.1,1835.49,
2022-07-27,15:00:00,6455,-124000000,-2.83,,
2022-10-28,15:00:00,6455,363000000,8.25,,
2022-12-16,15:00:00,6455,,,,40.0
2023-01-31,15:00:00,6455,627000000,14.26,,40.0
2023-04-28,15:00:00,6455,3996000000,90.98,1899.79,
2023-07-28,15:00:00,6455,-44000000,-1.03,,48.0
2023-10-31,15:00:00,6455,893000000,20.38,,48.0
2024-01-31,15:00:00,6455,1715000000,39.09,,48.0
2024-04-26,15:00:00,6455,6011000000,137.09,2074.22,
2024-07-30,15:00:00,6455,993000000,22.76,,50.0
2024-10-31,15:00:00,6455,2554000000,58.48,,54.0
2025-01-31,15:30:00,6455,4324000000,98.94,,54.0
2025-04-25,15:30:00,6455,9472000000,217.47,2258.99,
2025-07-31,15:30:00,6455,770000000,18.03,,58.0
2025-10-31,15:30:00,6455,3260000000,76.22,,87.0
2025-11-01,10:00:00,6455,3260000000,76.22,,58.0
