DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual
2024-02-08,13:00:00,3101,1573000000,17.85,2145.84,40.0
2024-05-13,13:00:00,3101,2455000000,27.87,2236.5,
2024-08-08,13:00:00,3101,784000000,8.9,2226.07,40.0
2024-11-07,13:00:00,3101,114000000,1.29,2191.14,40.0
2025-02-12,13:00:00,3101,721000000,8.18,2217.67,40.0
2025-05-12,13:00:00,3101,2003000000,22.73,2215.11,
2025-08-07,13:00:00,3101,1573000000,17.84,2193.95,40.0
2025-11-10,13:00:00,3101,5732000000,64.98,2253.1,40.0
