DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual
2021-02-08,15:00:00,6947,1079000000,46.45,,30.0
2021-05-10,15:00:00,6947,2137000000,91.92,1656.21,
2021-04-27,15:00:00,6947,,,,
2021-08-04,15:00:00,6947,429000000,18.47,,32.0
2021-11-08,15:00:00,6947,1357000000,58.37,,32.0
2022-02-07,15:00:00,6947,2394000000,103.0,,32.0
2022-02-21,15:00:00,6947,,,,37.0
2022-05-09,15:00:00,6947,3002000000,129.16,1644.76,
2022-08-08,15:00:00,6947,679000000,29.21,,40.0
2022-11-07,15:00:00,6947,1414000000,60.86,,40.0
2023-02-08,15:00:00,6947,2153000000,92.63,,40.0
2023-05-15,15:00:00,6947,3196000000,137.48,1758.56,
2023-08-08,15:00:00,6947,687000000,29.63,,50.0
2023-11-06,15:00:00,6947,1638000000,71.57,,50.0
2024-02-08,15:00:00,6947,2360000000,104.07,,50.0
2024-05-13,15:00:00,6947,3868000000,171.37,1818.2,
2024-08-06,15:00:00,6947,703000000,31.62,,60.0
2024-11-11,11:30:00,6947,1627000000,73.16,,100.0
2025-02-06,11:30:00,6947,2625000000,118.36,,100.0
2025-05-12,11:30:00,6947,5226000000,236.99,1843.79,
2025-08-06,11:30:00,6947,701000000,32.44,,100.0
2025-11-10,11:30:00,6947,2095000000,97.37,,200.0
