DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual
2021-02-10,15:00:00,4344,196000000,1.44,88.84,0.46
2021-05-12,15:00:00,4344,191000000,1.4,89.63,
2021-08-13,15:00:00,4344,-468000000,-3.44,84.17,0.04
2021-11-10,15:00:00,4344,-413000000,-3.04,84.74,0.04
2022-02-14,15:00:00,4344,-759000000,-5.58,81.8,0.0
2022-05-12,15:00:00,4344,-3502000000,-25.77,70.72,
2022-08-10,15:00:00,4344,-750000000,-5.54,65.93,0.0
2022-11-14,15:00:00,4344,-1063000000,-7.85,63.77,0.0
2023-02-14,15:00:00,4344,-1332000000,-9.83,75.43,0.0
2023-05-15,15:00:00,4344,-2303000000,-17.0,67.92,
2023-08-10,15:00:00,4344,-770000000,-5.69,62.41,0.0
2023-11-14,15:00:00,4344,-1150000000,-8.49,59.64,0.0
2024-02-14,15:00:00,4344,-1660000000,-12.25,58.21,0.0
2024-05-15,15:00:00,4344,-2169000000,-16.01,59.56,
2024-08-09,15:00:00,4344,-544000000,-4.02,59.94,
2024-11-13,15:30:00,4344,-1681000000,-12.4,53.16,
2025-02-14,15:30:00,4344,-1919000000,-14.15,67.27,
2025-05-15,15:30:00,4344,-3896000000,-28.65,53.97,
2025-08-08,15:30:00,4344,-644000000,-4.66,48.89,
2025-11-13,15:30:00,4344,-764000000,-5.53,48.97,
