DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual
2021-03-12,15:30:00,3282,3889000000,5791,191369,
2021-03-12,15:30:00,3282,,,,
2021-09-15,15:00:00,3282,4950000000,7144,195802,
2022-01-05,15:15:00,3282,,,,
2022-03-15,16:30:00,3282,3616000000,5219,195149,
2022-09-15,16:00:00,3282,3704000000,5174,198417,
2023-01-05,18:55:00,3282,,,,
2023-03-15,16:30:00,3282,3986000000,5567,198650,
2023-08-04,15:15:00,3282,,,,
2023-09-15,15:00:00,3282,4138000000,5615,200983,
2024-03-15,16:30:00,3282,4173000000,5520,204128,
2024-07-12,15:35:00,3282,,,,
2024-09-17,15:30:00,3282,4572000000,6032,204511,
2025-03-17,16:00:00,3282,4501000000,5769,207140,
2025-09-16,16:30:00,3282,4853000000,6219,207486,
2025-12-22,15:30:00,3282,,,,
