Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,UnderLimit
2005-03-22,4307.95,4367.6,4300.99,4314.41,537318
2005-03-23,4307.95,4307.95,4165.3,4191.64,829139
2005-03-24,4258.24,4300.99,4208.54,4274.65,928424
2005-03-25,4274.65,4274.65,4188.65,4271.17,864296
2005-03-28,4210.03,4364.12,4210.03,4364.12,660695
2005-03-29,4364.12,4364.12,4249.8,4269.68,613517
2005-03-30,4274.65,4334.29,4150.38,4190.15,642790
2005-03-31,4140.44,4274.65,4130.5,4264.7,541995
2005-04-01,4215,4314.41,4195.12,4299.5,553061
2005-04-04,4324.35,4344.23,4264.7,4309.44,368775
2005-04-05,4259.74,4344.23,4244.82,4289.55,440195
2005-04-06,4274.65,4284.59,4210.03,4224.94,561812
2005-04-07,4200.09,4224.94,4145.41,4175.23,778189
2005-04-08,4150.38,4170.27,4105.65,4155.36,574789
2005-04-11,4130.5,4135.47,4105.65,4115.59,337088
2005-04-12,4105.65,4105.65,4070.85,4070.85,277335
2005-04-13,4085.77,4090.74,4006.24,4041.03,473492
2005-04-14,3946.59,4011.21,3946.59,3996.3,556280
2005-04-15,3956.53,3966.47,3872.03,3881.98,738755
2005-04-18,3633.45,3792.51,3628.48,3717.95,1218484
2005-04-19,3767.65,3867.07,3747.77,3852.15,990541
2005-04-20,3852.15,3852.15,3752.75,3792.51,936824
2005-04-21,3727.88,3742.8,3653.33,3688.13,1285982
2005-04-22,3777.6,3822.33,3737.83,3797.48,1014179
2005-04-25,3896.89,3896.89,3812.39,3852.15,555073
2005-04-26,3802.45,3832.27,3767.65,3767.65,398047
2005-04-27,3762.68,3802.45,3737.83,3802.45,442409
2005-04-28,3852.15,3916.77,3827.3,3891.92,805952
2005-05-02,3802.45,3857.13,3782.56,3857.13,370384
2005-05-06,3822.33,3862.09,3812.39,3817.36,436373
2005-05-09,3802.45,3822.33,3688.13,3822.33,557789
2005-05-10,3847.18,3916.77,3817.36,3916.77,519665
2005-05-11,3936.65,3971.45,3906.83,3941.62,1328935
2005-05-12,4001.27,4036.06,3991.32,3991.32,1319882
2005-05-13,4016.18,4031.09,3946.59,3961.51,910670
